message,cleaned_text,prediction,correct_label,confidence,is_correct
The payment was deducted from my bank account but the transaction shows failed.,The payment was deducted from my bank account but the transa...,Request,Problem,0.9999115799222322,False
I found a bug in the latest update affecting report generation.,I found a bug in the latest update affecting report generati...,Information,Problem,0.5760759925227276,False
I am unable to login to my account despite using the correct credentials.,I am unable to login to my account despite using the correct...,Problem,Problem,0.973549863476047,True
I am having trouble accessing some features of the website.,I am having trouble accessing some features of the website.,Information,Problem,0.9228411183792458,False
I keep getting an error message when trying to upload files to the portal.,I keep getting an error message when trying to upload files ...,Problem,Problem,0.9524832245000711,True
I am receiving too many promotional emails and would like to unsubscribe.,I am receiving too many promotional emails and would like to...,Request,Request,0.997200767278656,True
The mobile app is crashing frequently on my device.,The mobile app is crashing frequently on my device.,Problem,Problem,0.847919650730389,True
"My subscription was supposed to be canceled, but I was charged again.","My subscription was supposed to be canceled, but I was charg...",Request,Problem,0.9834348232297779,False
The website is loading very slowly for me.,The website is loading very slowly for me.,Problem,Problem,0.8913809836520425,True
The app is not syncing data across my devices.,The app is not syncing data across my devices.,Problem,Problem,0.8737108675733947,True
I have noticed some unauthorized transactions on my account.,I have noticed some unauthorized transactions on my account.,Problem,Problem,0.999130808427398,True
The website layout is distorted on my browser.,The website layout is distorted on my browser.,Request,Problem,0.42017996160680254,False
I am having trouble setting up my account.,I am having trouble setting up my account.,Request,Problem,0.9572519805325586,False
I received a damaged product in my order.,I received a damaged product in my order.,Problem,Problem,0.9965652680642786,True
I need help with resetting my password.,I need help with resetting my password.,Request,Request,0.9999585263115719,True
I am unable to update my profile information.,I am unable to update my profile information.,Problem,Problem,0.560062706185875,True
I am unable to download the software on my computer.,I am unable to download the software on my computer.,Information,Problem,0.3545859689476713,False
I am not receiving any notifications from the app.,I am not receiving any notifications from the app.,Problem,Problem,0.8875839007276862,True
I am unable to access the premium features despite having a subscription.,I am unable to access the premium features despite having a ...,Information,Problem,0.9154133472898734,False
I am unable to complete the checkout process on the website.,I am unable to complete the checkout process on the website.,Request,Problem,0.5032889692961888,False
I am unable to delete my account.,I am unable to delete my account.,Request,Request,0.9999722413812329,True
I have a question about the pricing for your services.,I have a question about the pricing for your services.,Information,Information,0.9989866024598469,True
I am unable to track my order in real-time.,I am unable to track my order in real-time.,Problem,Problem,0.9988310289173817,True
I am receiving an 'Access Denied' error when trying to visit some pages.,I am receiving an 'Access Denied' error when trying to visit...,Problem,Problem,0.6097315696199112,True
I am experiencing difficulty in navigating through the mobile app.,I am experiencing difficulty in navigating through the mobil...,Problem,Problem,0.6291309339749931,True
I am unable to change my email address associated with the account.,I am unable to change my email address associated with the a...,Request,Problem,0.9999999862229033,False
The product I received is different from what I ordered.,The product I received is different from what I ordered.,Problem,Problem,0.9965652680642786,True
I am unable to generate reports from the dashboard.,I am unable to generate reports from the dashboard.,Problem,Problem,0.9988641622011357,True
