Original_Text,Cleaned_Text,Label
"Hi Support, Where is your headquarters located? Lay soon message show know main.",Where is your headquarters located?,Information
"Hi Support, The application crashes every time I open the settings tab. Speech wall six hour book.",The application crashes every time I open the settings tab.,Problem
"Hi Support, How do I upgrade to the Enterprise plan? Close stand street wear your her.",How do I upgrade to the Enterprise plan?,Information
"Hi Support, The dashboard is not loading any data, just a spinning wheel. Raise third recently turn.","The dashboard is not loading any data, just a spinning wheel.",Problem
"Hi Support, I have been trying to update my payment method but it keeps failing. Study talk teach.",I have been trying to update my payment method but it keeps failing.,Request
"Hi Support, Where is your headquarters located? During sign over president nothing peace.",Where is your headquarters located?,Information
"Hi Support, How do I upgrade to the Enterprise plan? Effect bad upon edge wall.",How do I upgrade to the Enterprise plan?,Information
"Hi Support, My subscription renewed automatically, but I wanted to cancel. Grow soldier minute capital matter.","My subscription renewed automatically, but I wanted to cancel.",Request
"Hi Support, I cannot log into my account even after resetting the password. Direction want class cut.",I cannot log into my account even after resetting the password.,Request
"Hi Support, Is there a roadmap for new features this year? Center threat side know fall.",Is there a roadmap for new features this year?,Information
"Hi Support, Where is your headquarters located? Employee play school pick size stand say.",Where is your headquarters located?,Information
"Hi Support, I want to permanently delete my account and data. Our industry system then realize type purpose.",I want to permanently delete my account and data.,Request
"Hi Support, My data hasn't synced to the cloud for 24 hours. Man walk magazine power station wife.",My data hasn't synced to the cloud for 24 hours.,Problem
"Hi Support, What are your support operating hours? Safe down affect after her business wonder.",What are your support operating hours?,Information
"Hi Support, I requested a refund 5 days ago, where is it? Enough building life western same remember week.","I requested a refund 5 days ago, where is it?",Information
"Hi Support, Is there a roadmap for new features this year? Word style quickly end similar.",Is there a roadmap for new features this year?,Information
"Hi Support, How does the team pricing tier work? Fight nation cup building military.",How does the team pricing tier work?,Information
"Hi Support, My profile picture is not updating. Call them tend stay question four this experience.",My profile picture is not updating.,Problem
"Hi Support, Can you send me the invoice for transaction #99283? Involve bar significant race southern.",Can you send me the invoice for transaction #99283?,Request
"Hi Support, Why is my bill higher than the agreed amount? For thing service support popular southern.",Why is my bill higher than the agreed amount?,Information
"Hi Support, I want to permanently delete my account and data. Recently factor mother because open himself.",I want to permanently delete my account and data.,Request
"Hi Support, I lost my phone and cannot pass the 2FA check. Sister short social movement ok response do.",I lost my phone and cannot pass the 2FA check.,Request
"Hi Support, Do you offer a discount for non-profits? Fill so day conference week goal language.",Do you offer a discount for non-profits?,Information
"Hi Support, I am not receiving the password reset email. Seek bar piece news single.",I am not receiving the password reset email.,Request
"Hi Support, How does the team pricing tier work? Season task trial structure debate.",How does the team pricing tier work?,Information
"Hi Support, I would like to request a demo for my team. Drive indicate usually music lot at.",I would like to request a demo for my team.,Request
"Hi Support, My subscription renewed automatically, but I wanted to cancel. Happen hard ahead discover.","My subscription renewed automatically, but I wanted to cancel.",Request
"Hi Support, How do I install the latest patch on Windows 11? Even continue floor morning tax girl.",How do I install the latest patch on Windows 11?,Information
"Hi Support, How do I install the latest patch on Windows 11? College help miss determine.",How do I install the latest patch on Windows 11?,Information
"Hi Support, I want to permanently delete my account and data. Ok cause future citizen with.",I want to permanently delete my account and data.,Request
"Hi Support, Is there a roadmap for new features this year? Attention avoid himself your.",Is there a roadmap for new features this year?,Information
"Hi Support, How does the team pricing tier work? Make step him.",How does the team pricing tier work?,Information
"Hi Support, I cannot log into my account even after resetting the password. Author provide require require.",I cannot log into my account even after resetting the password.,Request
"Hi Support, What are your support operating hours? Political time it prevent performance operation war.",What are your support operating hours?,Information
"Hi Support, The application crashes every time I open the settings tab. Color pattern operation citizen continue management.",The application crashes every time I open the settings tab.,Problem
"Hi Support, Please help me change the email address associated with my account. Really generation fight increase take.",Please help me change the email address associated with my account.,Request
"Hi Support, I received a suspicious email claiming to be support. Technology his want growth plan style.",I received a suspicious email claiming to be support.,Problem
"Hi Support, Can you send me the invoice for transaction #99283? Mother change material research friend college these.",Can you send me the invoice for transaction #99283?,Request
"Hi Support, I would like to request a demo for my team. Too practice reflect long book really model.",I would like to request a demo for my team.,Request
"Hi Support, I received a suspicious email claiming to be support. Water think campaign town discussion worker environmental employee.",I received a suspicious email claiming to be support.,Problem
"Hi Support, I noticed a double charge on my statement for last month. No glass marriage attorney explain production interesting.",I noticed a double charge on my statement for last month.,Problem
"Hi Support, Do you offer a discount for non-profits? Say hospital specific car at.",Do you offer a discount for non-profits?,Information
"Hi Support, I noticed a double charge on my statement for last month. Room employee at west eat per.",I noticed a double charge on my statement for last month.,Problem
"Hi Support, The dashboard is not loading any data, just a spinning wheel. Those guy stand charge read.","The dashboard is not loading any data, just a spinning wheel.",Problem
"Hi Support, Can you send me the invoice for transaction #99283? Civil about join college including speak single.",Can you send me the invoice for transaction #99283?,Request
"Hi Support, I received a suspicious email claiming to be support. Any pass into organization series week cold.",I received a suspicious email claiming to be support.,Problem
"Hi Support, Do you offer a discount for non-profits? Company notice tell.",Do you offer a discount for non-profits?,Information
"Hi Support, How do I install the latest patch on Windows 11? Program senior sister consumer sea especially scene.",How do I install the latest patch on Windows 11?,Information
"Hi Support, My subscription renewed automatically, but I wanted to cancel. Vote issue suddenly head head.","My subscription renewed automatically, but I wanted to cancel.",Request
"Hi Support, Do you offer a discount for non-profits? Ball campaign agreement right knowledge give great even.",Do you offer a discount for non-profits?,Information
"Hi Support, How does the team pricing tier work? Baby decide plant forward.",How does the team pricing tier work?,Information
"Hi Support, Why is my bill higher than the agreed amount? Rest form follow common.",Why is my bill higher than the agreed amount?,Information
"Hi Support, What are your support operating hours? Environment hard care specific just.",What are your support operating hours?,Information
"Hi Support, The dashboard is not loading any data, just a spinning wheel. Role perform left.","The dashboard is not loading any data, just a spinning wheel.",Problem
"Hi Support, Is there a roadmap for new features this year? Into a risk.",Is there a roadmap for new features this year?,Information
"Hi Support, I am not receiving the password reset email. Soldier TV indeed inside.",I am not receiving the password reset email.,Request
"Hi Support, How do I install the latest patch on Windows 11? Public degree war thought.",How do I install the latest patch on Windows 11?,Information
"Hi Support, I am not receiving the password reset email. Inside somebody course.",I am not receiving the password reset email.,Request
