Original_Text,Cleaned_Text,Label
Help me set up network-level parental controls for my children's devices.,help me set up network level parental controls for my children's devices.,Request
Please send an official technician to check for a possible signal leak in the building.,please send an official technician to check for a possible signal leak in the building.,Request
I am unable to use my gift card for this transaction.,i am unable to use my gift card for this transaction.,Problem
My data quota did not reset today even though it is the start of the month.,my data quota did not reset today even though it is the start of the month.,Problem
I am having trouble with the hotkeys on the portal.,i am having trouble with the hotkeys on the portal.,Problem
the modem feels extremely hot and keeps shutting down by itself,the modem feels extremely hot and keeps shutting down by itself,Problem
I need to schedule a service termination for the end of this current term.,i need to schedule a service termination for the end of this current term.,Request
Downgrade my current plan to the basic 30mbps starter tier.,downgrade my current plan to the basic 30mbps starter tier.,Request
I am unable to receive a verification code on my email.,i am unable to receive a verification code on my email.,Problem
What specific documentation is required to qualify for the corporate employee discount program?,what specific documentation is required to qualify for the corporate employee discount program?,Information
I am having trouble with the plugin integration on the portal.,i am having trouble with the plugin integration on the portal.,Problem
I’m requesting a site survey for a new installation at my secondary property.,i m requesting a site survey for a new installation at my secondary property.,Request
What are the specific terms and conditions regarding the early termination fee for a two-year contract?,what are the specific terms and conditions regarding the early termination fee for a two year contract?,Information
the plan upgrade is complete but the speed is still stuck on the old package,the plan upgrade is complete but the speed is still stuck on the old package,Problem
I am unable to find the email address for support.,i am unable to find the email address for support.,Information
Please schedule a migration of my line from the old copper network to the new fiber line.,please schedule a migration of my line from the old copper network to the new fiber line.,Request
router shows connected but i can't open any website at all,router shows connected but i can't open any website at all,Problem
I am having trouble with the purchase confirmation process.,i am having trouble with the purchase confirmation process.,Problem
Kindly reset my account password and send the temporary link to my phone.,kindly reset my account password and send the temporary link to my phone.,Request
I need assistance with billing problem,i need assistance with billing problem,Request
Please send me the subscription cancellation form for next month,please send me the subscription cancellation form for next month,Request
I am having trouble with the notification system for new alerts.,i am having trouble with the notification system for new alerts.,Problem
Upgrade my current modem to the newest Wi-Fi 6 model to improve coverage.,upgrade my current modem to the newest wi fi 6 model to improve coverage.,Request
How long is the typical waiting list for a technician visit in the West Jakarta region?,how long is the typical waiting list for a technician visit in the west jakarta region?,Information
I am having trouble with the scroll bar on the web portal.,i am having trouble with the scroll bar on the web portal.,Problem
Kindly provide me with a physical copy of my signed contract for legal purposes.,kindly provide me with a physical copy of my signed contract for legal purposes.,Request
Does the set-top box provided with the TV package support 4K resolution streaming?,does the set top box provided with the tv package support 4k resolution streaming?,Information
I am unable to submit feedback through the portal.,i am unable to submit feedback through the portal.,Problem
Switch my billing to the annual plan to get the discount.,switch my billing to the annual plan to get the discount.,Request
Replace the snapped fiber connector as soon as a technician is available.,replace the snapped fiber connector as soon as a technician is available.,Request
How long does it take to activate a new add-on?,how long does it take to activate a new add on?,Information
I am unable to find the search bar on the website.,i am unable to find the search bar on the website.,Information
Adjust the MTU settings on my modem to improve gaming stability.,adjust the mtu settings on my modem to improve gaming stability.,Request
I am unable to complete the checkout process on the website.,i am unable to complete the checkout process on the website.,Problem
I want to know the physical address of your main office for document submission purposes.,i want to know the physical address of your main office for document submission purposes.,Information
i am not receiving the OTP code when trying to login to the latest app,i am not receiving the otp code when trying to login to the latest app,Problem
Calibrate the fiber signal strength in my basement for better stability.,calibrate the fiber signal strength in my basement for better stability.,Request
I am having trouble with the captcha on the registration page.,i am having trouble with the captcha on the registration page.,Problem
"Apply the ""New Year"" promo code to my account before the next billing cycle.",apply the new year promo code to my account before the next billing cycle.,Request
Is it possible to have the router installed in a basement with thick concrete walls?,is it possible to have the router installed in a basement with thick concrete walls?,Information
What are the security protocols used for the provider's public Wi-Fi hotspots?,what are the security protocols used for the provider's public wi fi hotspots?,Information
Please disable the USB port access on my modem remotely,please disable the usb port access on my modem remotely,Request
Check the stability of the fiber pole located near my front gate.,check the stability of the fiber pole located near my front gate.,Request
I am having trouble with the side bar on the web portal.,i am having trouble with the side bar on the web portal.,Problem
I am unable to receive any newsletters from your company.,i am unable to receive any newsletters from your company.,Problem
I've been trying to pay via the app for an hour but it keeps crashing.,i've been trying to pay via the app for an hour but it keeps crashing.,Problem
I need clarification on whether the advertised price includes the 11% Value Added Tax.,i need clarification on whether the advertised price includes the 11 value added tax.,Information
Kindly send a digital copy of my original contract to my account,kindly send a digital copy of my original contract to my account,Request
I am having trouble with the filters on the search page.,i am having trouble with the filters on the search page.,Problem
I am having trouble with the product rating feature.,i am having trouble with the product rating feature.,Problem
I am unable to download my profile information.,i am unable to download my profile information.,Request
I am having trouble with the account recovery process.,i am having trouble with the account recovery process.,Problem
