messages,label
Does your service cover South Jakarta?,Information
my internet connection keeps dropping every few minutes since last night,Problem
"speeds are extremely slow, getting only 2mbps but i'm paying for 100mbps",Problem
router shows connected but i can't open any website at all,Problem
i've been without internet for 3 days now and nobody has fixed it yet,Problem
please send a technician to check my connection at home,Request
can you reset my modem remotely?,Request
i want to cancel my subscription effective next month,Request
could you upgrade my plan to the 200mbps package,Request
Can you install new connection?,Request
How do I check data usage?,Information
Modem keeps disconnecting,Problem
Can you install new connection at my home?,Request
How do I check my data usage?,Information
Modem keeps disconnecting every hour,Problem
What is the procedure to cancel subscription?,Information
My bill is higher than expected,Problem
How can you help me fix this issue?,Information
I need assistance with billing problem,Request
What should I do if modem not working?,Information
Problem with payment gateway,Problem
i can't connect to wifi even though the password is correct,Problem
my router light is red and i have no connection at all,Problem
the fiber cable outside my house appears to be damaged,Problem
i paid my bill but my service is still suspended,Problem
"my upload speed is terrible, videos won't upload at all",Problem
the technician came but the problem still isn't fixed,Problem
the app keeps crashing when i try to check my usage,Problem
i was charged twice for the same billing period,Problem
the new modem you sent me is not working at all,Problem
i can't access certain websites but others work fine,Problem
the ethernet cable connection is not being detected,Problem
my data usage is showing incorrect numbers in the app,Problem
the wifi signal is very weak even when i'm next to the router,Problem
my static ip address keeps changing without notice,Problem
the service has been down since the storm yesterday,Problem
i'm still being billed after i already cancelled my subscription,Problem
can you waive the late fee on my account this month,Request
can you provide me a detailed breakdown of my last bill,Request
please reschedule the technician visit to friday afternoon,Request
can you remove the extra charges on my latest invoice,Request
please confirm my installation appointment for tomorrow,Request
could you whitelist a specific website that is being blocked,Request
i need you to increase my data limit for this month,Request
please prioritize my repair ticket as i work from home,Request
please reconnect my service i already paid the outstanding balance,Request
can you schedule a cable burial for the wire outside my house,Request
what is the difference between fiber and cable internet,Information
what happens if i exceed my monthly data limit,Information
what is the process for transferring service to a new address,Information
what speeds are guaranteed during peak hours,Information
what documents are required for new account registration,Information
is there an option to pause my subscription temporarily,Information
how do i update my personal information on the account,Information
What are the promos for loyal customers this month?,Information
Please provide info on how to check my remaining quota via the app.,Information
How much is the installation fee for a new connection in a residential area?,Information
How do I make a payment via mobile banking?,Information
I want to ask why last month's billing details are different.,Information
Please info the location of ATMs where I can pay my internet bill.,Information
I want to know the remaining active period of my subscription.,Information
How much is the fine for being one day late on payment?,Information
What is the speed booster add-on feature mentioned on the website?,Information
What is the procedure to change my payment method to a credit card?,Information
Please send me the brochure for the internet and cable TV packages.,Information
Is there an additional fee if I want to add another TV decoder?,Information
Info regarding the FUP limit for the package I am using.,Information
What is my customer ID number for paying at a convenience store?,Information
I want to ask if this router supports dual-band frequency.,Information
What documents are required for a package migration?,Information
Is there a monthly fee for the modem rental?,Information
Please process a temporary suspension of service as I am going out of town.,Request
Please reactivate my isolated service.,Request
Please schedule a site survey for a new installation.,Request
"I have paid but the internet is still isolated, please check.",Problem
The download speed does not match the package I bought.,Problem
"I feel cheated, the promised promo was not applied.",Problem
My TV decoder remote is broken and cannot be used.,Problem
Why is there no news about my new installation request?,Problem
My payment at the convenience store keeps failing but the balance was deducted.,Problem
"I can't change the wifi password myself, it keeps giving an error.",Problem
"My upload speed is very low, far below the standard.",Problem
What is the maximum number of devices I can connect to this router?,Information
I need to know the official bank account numbers for wire transfers.,Information
I need to deactivate my TV cable service but keep the internet active.,Request
Could you please reset my internet connection from your end?,Request
I've been trying to pay via the app for an hour but it keeps crashing.,Problem
Why is my Netflix buffering constantly even though I'm on a high-speed plan?,Problem
The payment was deducted from my bank account but the transaction shows failed.,Problem
I found a bug in the latest update affecting report generation.,Problem
I am having trouble accessing some features of the website.,Problem
"My subscription was supposed to be canceled, but I was charged again.",Problem
The website layout is distorted on my browser.,Problem
I am having trouble setting up my account.,Problem
I am unable to download the software on my computer.,Problem
I am unable to access the premium features despite having a subscription.,Problem
I am unable to complete the checkout process on the website.,Problem
I am unable to change my email address associated with the account.,Problem
I am unable to connect my social media accounts to the portal.,Problem
I am having trouble understanding the billing statement for this month.,Information
The website is not displaying any images or graphics for me.,Problem
I am unable to add items to my shopping cart.,Problem
I am unable to verify my email address.,Problem
I am unable to see my purchase history on the account page.,Problem
I am having trouble with the two-factor authentication process.,Problem
The app is consuming too much battery on my phone.,Problem
I am unable to contact customer support through the chat feature.,Problem
I have a suggestion for improving the user interface of the mobile app.,Information
I am unable to find the search bar on the website.,Information
I am unable to apply a discount code during checkout.,Problem
The mobile app is not compatible with my device's operating system.,Problem
I am unable to print invoices from the portal.,Problem
I am unable to change the theme of the mobile app.,Problem
I am unable to access the help center on the website.,Problem
I am unable to upgrade my subscription plan.,Request
I am having trouble with the auto-fill feature on the checkout page.,Problem
I am unable to view the terms and conditions on the website.,Information
I am having trouble with the search results on the web portal.,Problem
I am unable to receive SMS alerts for account activity.,Problem
I am having trouble with the video player on the website.,Problem
I am unable to see the available balance in my account.,Information
I am unable to view the FAQ section on the website.,Information
I am unable to receive a refund for my canceled subscription.,Problem
I am having trouble with the keyboard shortcuts on the portal.,Problem
I am unable to redeem my loyalty points for discounts.,Problem
I am having trouble with the filters on the search page.,Problem
I am unable to receive an OTP for verifying my phone number.,Problem
I am having trouble with the dark mode setting on the website.,Problem
I am having trouble with the drag and drop feature on the portal.,Problem
I am unable to access the community forum on the website.,Problem
I am having trouble with the captcha on the registration page.,Problem
I am unable to receive a verification code on my email.,Problem
I am having trouble with the file compression feature on the portal.,Problem
I am unable to see the product specifications on the website.,Information
I am unable to access the live demo on the website.,Problem
I am having trouble with the browser compatibility on the portal.,Problem
I am having trouble with the scroll bar on the web portal.,Problem
I am unable to receive a confirmation email for my registration.,Problem
I am unable to access the tutorial videos on the website.,Problem
I am having trouble with the plugin integration on the portal.,Problem
I am unable to receive any emails from your company.,Problem
I am unable to see the reviews for the product on the website.,Information
I am unable to receive a password reset link on my email.,Problem
I am having trouble with the character limit on the feedback form.,Problem
I am unable to access the blog section on the website.,Problem
I am unable to see the terms of service on the mobile app.,Information
I am having trouble with the font style on the web portal.,Problem
I am unable to receive a notification for a new message.,Problem
I am having trouble with the page navigation on the website.,Problem
I am unable to receive a verification link on my phone.,Problem
I am having trouble with the account recovery process.,Problem
I am unable to see the estimated time of arrival for my delivery.,Information
I am unable to access the help documentation on the website.,Problem
I am unable to receive any SMS notifications from your company.,Problem
I am having trouble with the UI design of the web portal.,Problem
I am unable to see the product ratings on the website.,Information
I am unable to receive a confirmation code for my purchase.,Problem
I am having trouble with the feedback submission on the portal.,Problem
I am unable to access the user forum on the website.,Problem
I am having trouble with the sorting feature on the web portal.,Problem
I am having trouble with the video quality on the website.,Problem
I am unable to view the privacy policy on the website.,Information
I am unable to receive a response from customer support.,Problem
I am having trouble with the hotkeys on the portal.,Problem
I am unable to redeem a gift card for my purchase.,Problem
I am having trouble with the search filters on the web portal.,Problem
I am unable to receive an email for account verification.,Problem
I am unable to access the knowledge base on the website.,Information
I am unable to receive a notification for a system update.,Problem
I am having trouble with the file download feature on the portal.,Problem
I am unable to see the product description on the website.,Information
I am unable to access the live chat on the website.,Problem
I am having trouble with the cross-browser support on the portal.,Problem
I am unable to receive any promotional offers via email.,Problem
I am having trouble with the side bar on the web portal.,Problem
I am unable to receive a confirmation message for my registration.,Problem
I am unable to access the training materials on the website.,Problem
I am having trouble with the extension integration on the portal.,Problem
I am unable to receive any newsletters from your company.,Problem
I am unable to see the user reviews for the product on the website.,Information
I am unable to receive a link for password recovery on my email.,Problem
I am having trouble with the word count on the comment section.,Problem
I am unable to access the news section on the website.,Problem
I am having trouble with the terms and conditions page on the mobile app.,Information
I am unable to navigate between pages on the website.,Problem
I am having trouble with the conversation history feature.,Problem
I am having trouble with the verification link on my phone.,Problem
I am unable to recover my account after several attempts.,Problem
I am having trouble with the delivery estimation feature.,Problem
I am unable to customize my profile on the portal.,Request
I am having trouble with the help section on the website.,Problem
I am unable to navigate the web portal due to its design.,Problem
I am having trouble with the product rating system on the website.,Problem
I am having trouble with the purchase confirmation process.,Problem
I am unable to submit feedback through the portal.,Problem
I am having trouble with the user forum on the website.,Problem
I am unable to play videos on the website.,Problem
I am unable to view my wallet balance.,Information
I am unable to read the privacy policy on the website.,Information
I am unable to get a response from your support team.,Problem
I am unable to use a gift card for my transaction.,Problem
I am having trouble with the filtering options on the web portal.,Problem
I am unable to receive the verification email for my account.,Problem
I am unable to receive notifications for system updates.,Problem
I am having trouble with the file download tool on the portal.,Problem
I am unable to see the detailed product description on the website.,Information
I am unable to access the live support chat on the website.,Problem
I am having trouble with the cross-browser compatibility on the portal.,Problem
I am unable to receive any promotional deals via email.,Problem
I am having trouble with the navigation menu on the web portal.,Problem
I am unable to receive a confirmation message for my account registration.,Problem
I am unable to access the training videos on the website.,Problem
I am having trouble with the third-party extension integration.,Problem
I am having trouble with the word count limit on comments.,Problem
I am unable to access the news archive on the website.,Problem
I am unable to see the taxes and service fees for my order.,Information
I am having trouble with the terms and conditions on the mobile app.,Information
I am unable to change the font color settings on the web portal.,Request
I am unable to navigate between different pages on the website.,Problem
I am having trouble with the chat history search feature.,Problem
I am unable to export my account data from the mobile app.,Problem
I am having trouble with the verification link sent to my phone.,Problem
I am unable to recover my account after multiple attempts.,Problem
