text,cleaned_text,prediction,correct_label,timestamp
"Hi Support, Does your service cover South Jakarta?",Does your service cover South Jakarta?,Information,Information,2026-04-09T23:03:51.981282
my internet connection keeps dropping every few minutes since last night,my internet connection keeps dropping every few minutes since last night,Request,Problem,2026-04-09T23:44:37.894761
"speeds are extremely slow, getting only 2mbps but i'm paying for 100mbps","speeds are extremely slow, getting only 2mbps but i'm paying for 100mbps",Information,Problem,2026-04-09T23:45:08.611445
router shows connected but i can't open any website at all,router shows connected but i can't open any website at all,Problem,Problem,2026-04-09T23:45:40.315515
i've been without internet for 3 days now and nobody has fixed it yet,i've been without internet for 3 days now and nobody has fixed it yet,Information,Problem,2026-04-09T23:46:06.051722
please send a technician to check my connection at home,please send a technician to check my connection at home,Request,Request,2026-04-09T23:46:24.236295
can you reset my modem remotely? it's been acting up,can you reset my modem remotely?,Request,Request,2026-04-09T23:46:31.532813
i want to cancel my subscription effective next month,i want to cancel my subscription effective next month,Request,Request,2026-04-09T23:46:38.076541
could you upgrade my plan to the 200mbps package,could you upgrade my plan to the 200mbps package,Information,Request,2026-04-09T23:46:54.549020
my internet connection keeps dropping every few minutes since last night,my internet connection keeps dropping every few minutes since last night,Request,Problem,2026-04-09T23:47:19.590664
my internet connection keeps dropping every few minutes since last night,my internet connection keeps dropping every few minutes since last night,Problem,Problem,2026-04-09T23:47:34.590044
"speeds are extremely slow, getting only 2mbps but i'm paying for 100mbps","speeds are extremely slow, getting only 2mbps but i'm paying for 100mbps",Information,Problem,2026-04-09T23:48:03.086224
"Hi Support, Can you install new connection?",Can you install new connection?,Information,Request,2026-04-09T23:57:14.540157
"Hi Support, How do I check data usage?",How do I check data usage?,Request,Information,2026-04-09T23:57:14.543207
"Hi Support, Modem keeps disconnecting",Modem keeps disconnecting,Request,Problem,2026-04-09T23:57:14.545686
"Hi Support, Can you install new connection?",Can you install new connection?,Information,Request,2026-04-09T23:57:26.357712
"Hi Support, How do I check data usage?",How do I check data usage?,Request,Information,2026-04-09T23:57:26.361132
"Hi Support, Modem keeps disconnecting",Modem keeps disconnecting,Request,Problem,2026-04-09T23:57:26.363519
Can you install new connection at my home?,Can you install new connection at my home?,Information,Request,2026-04-09T23:57:45.476547
How do I check my data usage?,How do I check my data usage?,Request,Information,2026-04-09T23:57:45.479409
Modem keeps disconnecting every hour,Modem keeps disconnecting every hour,Request,Problem,2026-04-09T23:57:45.481604
What is the procedure to cancel subscription?,What is the procedure to cancel subscription?,Request,Information,2026-04-09T23:57:45.484409
My bill is higher than expected,My bill is higher than expected,Information,Problem,2026-04-09T23:57:45.486501
How can you help me fix this issue?,How can you help me fix this issue?,Request,Information,2026-04-09T23:57:45.491975
I need assistance with billing problem,I need assistance with billing problem,Information,Request,2026-04-09T23:57:45.494043
What should I do if modem not working?,What should I do if modem not working?,Request,Information,2026-04-09T23:57:45.496188
Problem with payment gateway,Problem with payment gateway,Request,Problem,2026-04-09T23:57:45.500261
What is the procedure to cancel subscription?,What is the procedure to cancel subscription?,Request,Information,2026-04-09T23:57:52.003081
My bill is higher than expected,My bill is higher than expected,Information,Problem,2026-04-09T23:57:52.005976
How can you help me fix this issue?,How can you help me fix this issue?,Request,Information,2026-04-09T23:57:52.012058
What should I do if modem not working?,What should I do if modem not working?,Problem,Information,2026-04-09T23:57:52.015204
Problem with payment gateway,Problem with payment gateway,Request,Problem,2026-04-09T23:57:52.019529
i've been without internet for 3 days now and nobody has fixed it yet,i've been without internet for 3 days now and nobody has fixed it yet,Information,Problem,2026-04-10T00:02:14.651056
i can't connect to wifi even though the password is correct,i can't connect to wifi even though the password is correct,Request,Problem,2026-04-10T00:02:14.656679
my router light is red and i have no connection at all,my router light is red and i have no connection at all,Request,Problem,2026-04-10T00:02:14.660451
the fiber cable outside my house appears to be damaged,the fiber cable outside my house appears to be damaged,Information,Problem,2026-04-10T00:02:14.663422
i paid my bill but my service is still suspended,i paid my bill but my service is still suspended,Information,Problem,2026-04-10T00:02:14.665569
"my upload speed is terrible, videos won't upload at all","my upload speed is terrible, videos won't upload at all",Information,Problem,2026-04-10T00:02:14.667784
the technician came but the problem still isn't fixed,the technician came but the problem still isn't fixed,Request,Problem,2026-04-10T00:02:14.669902
the app keeps crashing when i try to check my usage,the app keeps crashing when i try to check my usage,Request,Problem,2026-04-10T00:02:14.673635
i was charged twice for the same billing period,i was charged twice for the same billing period,Information,Problem,2026-04-10T00:02:14.675788
the new modem you sent me is not working at all,the new modem you sent me is not working at all,Information,Problem,2026-04-10T00:02:14.678775
i can't access certain websites but others work fine,i can't access certain websites but others work fine,Information,Problem,2026-04-10T00:02:14.680881
the ethernet cable connection is not being detected,the ethernet cable connection is not being detected,Request,Problem,2026-04-10T00:02:14.683826
my data usage is showing incorrect numbers in the app,my data usage is showing incorrect numbers in the app,Information,Problem,2026-04-10T00:02:14.686718
the wifi signal is very weak even when i'm next to the router,the wifi signal is very weak even when i'm next to the router,Information,Problem,2026-04-10T00:02:14.688845
my static ip address keeps changing without notice,my static ip address keeps changing without notice,Request,Problem,2026-04-10T00:02:14.691859
the service has been down since the storm yesterday,the service has been down since the storm yesterday,Information,Problem,2026-04-10T00:02:14.693946
i'm still being billed after i already cancelled my subscription,i'm still being billed after i already cancelled my subscription,Request,Problem,2026-04-10T00:02:14.696243
could you upgrade my plan to the 200mbps package,could you upgrade my plan to the 200mbps package,Information,Request,2026-04-10T00:02:14.700583
can you waive the late fee on my account this month,can you waive the late fee on my account this month,Problem,Request,2026-04-10T00:02:14.703650
can you provide me a detailed breakdown of my last bill,can you provide me a detailed breakdown of my last bill,Information,Request,2026-04-10T00:02:14.710169
please reschedule the technician visit to friday afternoon,please reschedule the technician visit to friday afternoon,Information,Request,2026-04-10T00:02:14.713720
can you remove the extra charges on my latest invoice,can you remove the extra charges on my latest invoice,Information,Request,2026-04-10T00:02:14.718654
please confirm my installation appointment for tomorrow,please confirm my installation appointment for tomorrow,Information,Request,2026-04-10T00:02:14.721830
could you whitelist a specific website that is being blocked,could you whitelist a specific website that is being blocked,Information,Request,2026-04-10T00:02:14.724477
i need you to increase my data limit for this month,i need you to increase my data limit for this month,Problem,Request,2026-04-10T00:02:14.727374
please prioritize my repair ticket as i work from home,please prioritize my repair ticket as i work from home,Information,Request,2026-04-10T00:02:14.733043
